Strain,Stress (MPa)
0,0
5.47E-07,0.071741785
1.09E-06,0.143483569
1.64E-06,0.215225354
2.19E-06,0.286967138
2.74E-06,0.358708923
3.28E-06,0.430450707
3.83E-06,0.502192492
4.38E-06,0.573934276
4.93E-06,0.645676061
5.47E-06,0.717417845
6.02E-06,0.78915963
6.57E-06,0.860901414
7.12E-06,0.932643199
7.66E-06,1.004384983
8.21E-06,1.076126768
8.76E-06,1.147868552
9.31E-06,1.219610337
9.85E-06,1.291352121
1.04E-05,1.363093906
1.09E-05,1.43483569
1.15E-05,1.506577475
1.20E-05,1.578319259
1.26E-05,1.650061044
1.31E-05,1.721802828
1.37E-05,1.793544612
1.42E-05,1.865286397
1.48E-05,1.937028182
1.53E-05,2.008769966
1.59E-05,2.080511751
1.64E-05,2.152253535
1.70E-05,2.22399532
1.75E-05,2.295737104
1.81E-05,2.367478889
1.86E-05,2.439220673
1.92E-05,2.510962458
1.97E-05,2.582704242
2.03E-05,2.654446027
2.08E-05,2.726187811
2.13E-05,2.797929596
2.19E-05,2.86967138
2.24E-05,2.941413165
2.30E-05,3.013154949
2.35E-05,3.125936623
2.41E-05,3.238718298
2.46E-05,3.351499972
2.52E-05,3.464281646
2.57E-05,3.577063321
2.63E-05,3.689844995
2.68E-05,3.802626669
2.74E-05,3.915408343
2.79E-05,4.028190018
2.85E-05,4.140971692
2.90E-05,4.253753366
2.96E-05,4.366535041
3.01E-05,4.479316715
3.07E-05,4.592098389
3.12E-05,4.704880064
3.18E-05,4.817661738
3.23E-05,4.930443412
3.29E-05,5.043225087
3.34E-05,5.156006761
3.40E-05,5.268788435
3.45E-05,5.38157011
3.51E-05,5.494351784
3.56E-05,5.607133458
3.62E-05,5.719915132
3.67E-05,5.832696807
3.73E-05,5.945478481
3.78E-05,6.058260155
3.84E-05,6.17104183
3.89E-05,6.283823504
3.95E-05,6.396605178
4.00E-05,6.509386853
4.06E-05,6.622168527
4.11E-05,6.734950201
4.17E-05,6.847731876
4.22E-05,6.96051355
4.28E-05,7.073295224
4.33E-05,7.186076898
4.39E-05,7.298858573
4.44E-05,7.411640247
4.50E-05,7.524421921
4.55E-05,7.637203596
4.61E-05,7.74998527
4.66E-05,7.821727055
4.72E-05,7.893468839
4.77E-05,7.965210624
4.83E-05,8.036952408
4.88E-05,8.108694193
4.94E-05,8.180435977
4.99E-05,8.252177762
5.05E-05,8.323919546
5.10E-05,8.395661331
5.16E-05,8.467403115
5.21E-05,8.5391449
5.27E-05,8.610886684
5.32E-05,8.682628469
5.37E-05,8.754370253
5.43E-05,8.826112038
5.48E-05,8.897853822
5.54E-05,8.969595607
5.59E-05,9.041337391
5.65E-05,9.113079176
5.70E-05,9.18482096
5.76E-05,9.256562745
5.81E-05,9.32830453
5.87E-05,9.400046314
5.92E-05,9.471788099
5.98E-05,9.543529883
6.03E-05,9.615271668
6.09E-05,9.687013452
6.14E-05,9.758755237
6.20E-05,9.830497021
6.25E-05,9.902238806
