Strain,Stress(Mpa)
0.000181005,11.80795909
0.000181593,11.87086189
0.000182206,11.94964685
0.000182745,12.03097552
0.00018326,12.09641713
0.000183922,12.17170629
0.000184853,12.30831294
0.000185735,12.46175175
0.000186789,12.59708531
0.000187868,12.76736364
0.000189093,12.93192308
0.000190196,13.11967343
0.000191324,13.2826451
0.000192377,13.42973252
0.000193162,13.55299301
0.000193971,13.67307797
0.000194583,13.78109021
0.000195074,13.84176783
0.000195735,13.90720979
0.000196471,14.03205944
0.000197181,14.16008566
0.000197917,14.27604021
0.000198775,14.41677273
0.000199608,14.55432867
0.000200564,14.69061643
0.000201569,14.86057587
0.000202524,15.01846503
0.000203529,15.18397832
0.000204436,15.32979371
0.000205319,15.46703427
0.000206029,15.59919091
0.000206593,15.67638636
0.000207304,15.75993706
0.000207843,15.86509091
0.000208309,15.94228811
0.000208848,16.01217832
0.000209559,16.12019056
0.000210245,16.24821748
0.000210784,16.34638182
0.000211569,16.44327378
0.000212377,16.60560944
0.000213186,16.75492133
0.000214216,16.91948007
0.000215294,17.10977273
0.000216373,17.29053427
0.000217475,17.49798042
0.000218456,17.66476573
0.000219387,17.8325
0.000220123,17.95480909
0.000220907,18.06123252
0.000221691,18.19624825
0.000222402,18.3201451
0.000223235,18.43387483
0.00022402,18.56698392
0.000224804,18.71756573
0.000225784,18.87354825
0.00022674,19.04922832
0.000227696,19.21061189
0.000228701,19.38533566
0.000229534,19.55656573
0.000230466,19.70174965
0.000231054,19.81230245
0.000231569,19.87679231
0.000233358,20.04198741
0.000235466,20.51787762
0.000237034,20.90672028
0.000238162,21.1281451
0.000239142,21.27427972
0.000239877,21.4058007
0.00024027,21.48681119
0.00024049,21.50237413
0.00024076,21.5036458
0.000241152,21.54462867
0.000241495,21.61928182
0.000241716,21.66407692
0.000242304,21.68980979
0.000244289,21.95983916
0.000246127,22.48465385
0.000247377,22.86841259
0.00024848,23.06093007
0.000249216,23.18323776
0.000249657,23.24137063
0.000250049,23.26202448
0.000250417,23.30268531
0.000250662,23.33318182
0.000250809,23.33604196
0.000251422,23.35129021
