Strain,Stress (MPa)
9.71E-05,16.32443706
9.76E-05,16.40688371
9.81E-05,16.48933036
9.85E-05,16.57177701
9.90E-05,16.65422366
9.95E-05,16.73667032
0.000100015,16.81911697
0.000100505,16.90156362
0.000100995,16.98401027
0.000101486,17.06645692
0.000101976,17.14890357
0.000102466,17.23135023
0.000102956,17.31379688
0.000103447,17.39624353
0.000103937,17.47869018
0.000104427,17.56113683
0.000104917,17.64358348
0.000105408,17.72603014
0.000105898,17.80847679
0.000106388,17.89092344
0.000106879,17.97337009
0.000107369,18.05581674
0.000107859,18.13826339
0.000108349,18.22071005
0.00010884,18.3031567
0.00010933,18.38560335
0.00010982,18.46805
0.00011031,18.55049665
0.000110801,18.6329433
0.000111291,18.71538996
0.000111781,18.79783661
0.000112271,18.88028326
0.000112762,18.96272991
0.000113252,19.04517656
0.000113742,19.12762321
0.000114232,19.21006987
0.000114723,19.29251652
0.000115213,19.37496317
0.000115704,19.46657831
0.000116195,19.55819345
0.000116685,19.64980858
0.000117176,19.74142372
0.000117667,19.83303886
0.000118158,19.924654
0.000118649,20.01626914
0.000119139,20.10788427
0.00011963,20.19949941
0.000120121,20.29111455
0.000120612,20.38272969
0.000121103,20.47434482
0.000121594,20.56595996
0.000122084,20.6575751
0.000122575,20.74919024
0.000123066,20.84080538
0.000123557,20.93242051
0.000124048,21.02403565
0.000124538,21.11565079
0.000125029,21.20726593
0.00012552,21.29888107
0.000126011,21.3904962
0.000126502,21.48211134
0.000126992,21.57372648
0.000127483,21.66534162
0.000127974,21.75695675
0.000128465,21.84857189
0.000128956,21.94018703
0.000129446,22.03180217
0.000129937,22.12341731
0.000130428,22.21503244
0.000130919,22.30664758
0.00013141,22.39826272
0.0001319,22.48987786
0.000132391,22.581493
0.000132882,22.67310813
0.000133373,22.76472327
0.000133864,22.85633841
0.000134355,22.94795355
0.000134845,23.03956868
0.000135336,23.13118382
0.000135827,23.22279896
0.000136318,23.3144141
0.000136809,23.40602924
0.000137299,23.49764437
0.00013779,23.58925951
0.000138281,23.68087465
0.000138771,23.7633213
0.000139262,23.84576795
0.000139752,23.92821461
0.000140242,24.01066126
0.000140732,24.09310791
0.000141223,24.17555456
0.000141713,24.25800121
0.000142203,24.34044787
0.000142693,24.42289452
0.000143184,24.50534117
0.000143674,24.58778782
0.000144164,24.67023447
0.000144655,24.75268112
0.000145145,24.83512778
0.000145635,24.91757443
0.000146125,25.00002108
0.000146616,25.08246773
0.000147106,25.16491438
0.000147596,25.24736104
0.000148087,25.32980769
0.000148577,25.41225434
0.000149067,25.49470099
0.000149557,25.57714764
0.000150048,25.6595943
0.000150538,25.74204095
0.000151028,25.8244876
0.000151518,25.90693425
0.000152009,25.9893809
0.000152499,26.07182756
0.000152989,26.15427421
0.00015348,26.23672086
0.00015397,26.31916751
0.00015446,26.40161416
0.00015495,26.48406082
0.000155441,26.56650747
0.000155931,26.64895412
0.000156421,26.73140077
0.000156912,26.81384742
0.000157402,26.89629407
0.000157892,26.97874073
0.000158382,27.06118738
0.000158873,27.14363403
0.000159363,27.22608068
0.000159853,27.30852733
0.000160343,27.39097399
0.000160834,27.47342064
0.000161324,27.55586729
0.000161815,27.64748243
0.000162306,27.73909757
0.000162796,27.8307127
0.000163287,27.92232784
0.000163778,28.01394298
0.000164269,28.10555812
0.00016476,28.19717325
0.00016525,28.28878839
0.000165741,28.38040353
0.000166232,28.47201867
0.000166723,28.5636338
0.000167214,28.65524894
0.000167705,28.74686408
0.000168195,28.83847922
0.000168686,28.93009435
0.000169177,29.02170949
0.000169668,29.11332463
0.000170159,29.20493977
0.000170649,29.29655491
0.00017114,29.38817004
0.000171631,29.47978518
0.000172122,29.57140032
0.000172613,29.66301546
