q (nm^-1);I (a.u.)
0.446683592;0.00123417
0.45708819;0.001264922
0.467735141;0.001187083
0.478630092;0.001016201
0.489778819;0.000783093
0.501187234;0.000528123
0.512861384;0.000293641
0.52480746;0.000115862
0.537031796;1.78E-05
0.549540874;4.59E-06
0.562341325;6.30E-05
0.575439937;0.000164742
0.588843655;0.000273442
0.602559586;0.000354195
0.616595002;0.00038255
0.630957344;0.000350969
0.645654229;0.000270511
0.660693448;0.000166916
0.676082975;7.20E-05
0.691830971;1.27E-05
0.707945784;1.91E-06
0.72443596;3.42E-05
0.741310241;8.81E-05
0.758577575;0.000135535
0.776247117;0.000153387
0.794328235;0.000133742
0.812830516;8.69E-05
0.831763771;3.58E-05
0.851138038;4.13E-06
0.87096359;3.79E-06
0.891250938;2.87E-05
0.912010839;5.89E-05
0.933254301;7.31E-05
0.954992586;6.18E-05
0.977237221;3.33E-05
1;7.39E-06
